case,family,seed,split,scale_group,units,periods,strategy,status,objective,bb_nodes,formal_lp_solved,probe_lp_solved,inference_time_sec,probe_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,最接近0.5分支（原规则）,最优,67.06426541,31,34,0,0,0,0.27381367,0.27391917;0.27381367;0.27319067,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,GNN图学习分支,最优,67.06426541,29,32,0,0.008600833,0,0.27633438,0.27633438;0.27538804;0.27636462,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,强分支（专家参考）,最优,67.06426541,29,32,52,0,0.55364184,0.81665492,0.824024;0.81665492;0.8156125,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,最接近0.5分支（原规则）,最优,61.13573855,83,86,0,0,0,1.6299423,1.6299423;1.6296402;1.6427677,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,GNN图学习分支,最优,61.13573855,63,66,0,0.024507913,0,1.2232956,1.2120532;1.2232956;1.2248992,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,强分支（专家参考）,最优,61.13573855,61,64,234,0,5.8028298,6.9814681,7.230974;6.9814681;6.972804,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,最接近0.5分支（原规则）,最优,64.33604454,129,132,0,0,0,2.3755282,2.3624662;2.3755282;2.379654,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,GNN图学习分支,最优,64.33604454,63,66,0,0.028814915,0,1.4598793,1.4598793;1.4499109;1.4625077,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,强分支（专家参考）,最优,64.33604454,57,60,224,0,6.2338572,7.7689735,7.7689735;7.6969781;7.8065558,0,,SciPy-HiGHS
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,最接近0.5分支（原规则）,最优,136.613917,317,320,0,0,0,9.5376562,9.649442;9.4560682;9.5376562,0,,SciPy-HiGHS
