suite,case,seed,units,backend,status,objective,match_gurobi,nodes,lp_solved,candidates_checked,simplex_iterations,lp_total_runtime_sec,total_runtime_median_sec,time_run_1_sec,time_run_2_sec,time_run_3_sec,iteration_limit,numerical_error,note
core,fixed_charge_block,,,active_set,optimal,28.5,True,7,10,9936,-,0.070605958,0.071158916,0.071158916,0.073735375,0.070545833,False,False,
core,fixed_charge_block,,,two_phase_simplex,optimal,28.5,True,7,10,-,30,0.003878458,0.004262250,0.004690625,0.004262250,0.003978000,False,False,
core,fixed_charge_block,,,scipy_highs,optimal,28.5,True,7,10,-,-,0.006708623,0.007105083,0.007105083,0.007058291,0.007311833,False,False,
core,fixed_charge_block,,,gurobi,optimal,28.5,True,0,,-,-,-,0.000206500,0.000235833,0.000206500,0.000197958,False,False,
core,unit_commitment_tiny,,,active_set,optimal,26,True,5,8,406,-,0.005099292,0.005294583,0.005693833,0.005294583,0.005272000,False,False,
core,unit_commitment_tiny,,,two_phase_simplex,optimal,26,True,5,8,-,7,0.002610043,0.002813500,0.003078500,0.002813500,0.002760541,False,False,
core,unit_commitment_tiny,,,scipy_highs,optimal,26,True,5,8,-,-,0.004682875,0.004927750,0.006112000,0.004927750,0.004796833,False,False,
core,unit_commitment_tiny,,,gurobi,optimal,26,True,0,,-,-,-,0.000139000,0.000155750,0.000139000,0.000132417,False,False,
core,production_expansion_binary,,,active_set,optimal,31.5,True,9,12,9946,-,0.066718000,0.067246583,0.068744375,0.067246583,0.066955042,False,False,
core,production_expansion_binary,,,two_phase_simplex,optimal,31.5,True,9,12,-,29,0.004000126,0.004424250,0.004424250,0.004384250,0.004563583,False,False,
core,production_expansion_binary,,,scipy_highs,optimal,31.5,True,9,12,-,-,0.007340541,0.007819375,0.008122292,0.007787500,0.007819375,False,False,
core,production_expansion_binary,,,gurobi,optimal,31.5,True,1,,-,-,-,0.000219000,0.000254333,0.000219000,0.000205416,False,False,
scaling,scaling_units_2,,2,active_set,optimal,18.399,True,5,8,406,-,0.004270040,0.004447333,0.004447333,0.004414833,0.004552416,False,False,
scaling,scaling_units_2,,2,two_phase_simplex,optimal,18.399,True,5,8,-,7,0.001876459,0.002053959,0.002071583,0.002053959,0.002043375,False,False,
scaling,scaling_units_2,,2,scipy_highs,optimal,18.399,True,5,8,-,-,0.003668457,0.003871250,0.003951834,0.003871250,0.003814917,False,False,
scaling,scaling_units_2,,2,gurobi,optimal,18.399,True,0,,-,-,-,0.000126333,0.000145792,0.000126333,0.000120125,False,False,
scaling,scaling_units_3,,3,active_set,optimal,28.488,True,5,8,9596,-,0.064334002,0.064671875,0.064793166,0.064671875,0.064626042,False,False,
scaling,scaling_units_3,,3,two_phase_simplex,optimal,28.488,True,5,8,-,16,0.002937001,0.003226083,0.003163583,0.003226083,0.003333167,False,False,
scaling,scaling_units_3,,3,scipy_highs,optimal,28.488,True,5,8,-,-,0.005091707,0.005409250,0.005342417,0.005668833,0.005409250,False,False,
scaling,scaling_units_3,,3,gurobi,optimal,28.488,True,1,,-,-,-,0.000314125,0.000402750,0.000314125,0.000287333,False,False,
scaling,scaling_units_4,,4,active_set,optimal,35.665,True,13,16,252274,-,1.647457710,1.648321000,1.668328250,1.648321000,1.605442041,False,False,
scaling,scaling_units_4,,4,two_phase_simplex,optimal,35.665,True,13,16,-,44,0.006675997,0.007273958,0.007227959,0.007273958,0.007585708,False,False,
