active_set_candidates,bb_nodes,case,family,fixed_variables,formal_lp_solved,global_bound,incumbent,infeasible_detected,inference_time_sec,limit_type,lp_backend,lp_status,lp_time_sec,num_binary,num_constraints,num_variables,objective,presolve_config,probe_lp_solved,probe_time_sec,relative_gap,removed_rows,search_strategy,section,seed,solver_runtime_sec,status,tightened_bounds,time_repeats_sec,total_runtime_sec
50388,,fixed_multi_cover_s2,fixed_charge_multi_resource,0,,,,否,,,,最优,0.33026192,5,5,7,,未开启筛选,,,,0,,三项筛选,2,,,0,,
12376,,fixed_multi_cover_s2,fixed_charge_multi_resource,1,,,,否,,,,最优,0.082017291,5,5,7,,仅固定变量消元,,,,0,,三项筛选,2,,,0,,
5005,,fixed_multi_cover_s2,fixed_charge_multi_resource,1,,,,否,,,,最优,0.035059459,5,5,7,,固定变量消元+冗余删除/不可行判断,,,,2,,三项筛选,2,,,0,,
5005,,fixed_multi_cover_s2,fixed_charge_multi_resource,1,,,,否,,,,最优,0.034861583,5,5,7,,三项筛选,,,,2,,三项筛选,2,,,0,,
50388,,fixed_multi_cover_s3,fixed_charge_multi_resource,0,,,,否,,,,最优,0.32808038,5,5,7,,未开启筛选,,,,0,,三项筛选,3,,,0,,
12376,,fixed_multi_cover_s3,fixed_charge_multi_resource,1,,,,否,,,,最优,0.084406875,5,5,7,,仅固定变量消元,,,,0,,三项筛选,3,,,0,,
5005,,fixed_multi_cover_s3,fixed_charge_multi_resource,1,,,,否,,,,最优,0.035219458,5,5,7,,固定变量消元+冗余删除/不可行判断,,,,2,,三项筛选,3,,,0,,
5005,,fixed_multi_cover_s3,fixed_charge_multi_resource,1,,,,否,,,,最优,0.035620375,5,5,7,,三项筛选,,,,2,,三项筛选,3,,,0,,
50388,,capacity_cover_s4,capacity_expansion,0,,,,否,,,,最优,0.33154883,5,5,7,,未开启筛选,,,,0,,三项筛选,4,,,0,,
12376,,capacity_cover_s4,capacity_expansion,1,,,,否,,,,最优,0.084087583,5,5,7,,仅固定变量消元,,,,0,,三项筛选,4,,,0,,
5005,,capacity_cover_s4,capacity_expansion,1,,,,否,,,,最优,0.034968125,5,5,7,,固定变量消元+冗余删除/不可行判断,,,,2,,三项筛选,4,,,0,,
5005,,capacity_cover_s4,capacity_expansion,1,,,,否,,,,最优,0.034754125,5,5,7,,三项筛选,,,,2,,三项筛选,4,,,0,,
50388,,capacity_cover_s8,capacity_expansion,0,,,,否,,,,最优,0.32436692,5,5,7,,未开启筛选,,,,0,,三项筛选,8,,,0,,
