case,family,seed,split,scale_group,units,periods,strategy,status,objective,bb_nodes,formal_lp_solved,probe_lp_solved,inference_time_sec,probe_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend,instance_id,instance_group,strategy_zh,best_bound,nodes,total_time_sec,timing_repeats,timing_protocol
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,最接近0.5分支（原规则）,最优,67.06426541,31,34,0,0,0,0.27167492,0.271391;0.27167492;0.27526471,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t3_seed51001,train_scale,最接近0.5分支（原规则）,,31,0.27167492,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,GNN图学习分支（种子1）,最优,67.06426541,29,32,0,0.008664083,0,0.27584808,0.27261179;0.27584808;0.27804967,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t3_seed51001,train_scale,GNN图学习分支（种子1）,,29,0.27584808,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,GNN图学习分支（种子2）,最优,67.06426541,33,36,0,0.009294499,0,0.31478996,0.31521317;0.31451171;0.31478996,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t3_seed51001,train_scale,GNN图学习分支（种子2）,,33,0.31478996,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t3_seed51001,unit_commitment,51001,uc_in_distribution,train_scale,3,3,GNN图学习分支（种子3）,最优,67.06426541,29,32,0,0.008064667,0,0.2710385,0.271785;0.27036383;0.2710385,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t3_seed51001,train_scale,GNN图学习分支（种子3）,,29,0.2710385,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,最接近0.5分支（原规则）,最优,61.13573855,83,86,0,0,0,1.6347115,1.6347115;1.6371387;1.6301146,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51002,train_scale,最接近0.5分支（原规则）,,83,1.6347115,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子1）,最优,61.13573855,63,66,0,0.023473625,0,1.2189463,1.2289276;1.2189463;1.2175235,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51002,train_scale,GNN图学习分支（种子1）,,63,1.2189463,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子2）,最优,61.13573855,65,68,0,0.025960374,0,1.2967151,1.2967151;1.2976328;1.2910391,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51002,train_scale,GNN图学习分支（种子2）,,65,1.2967151,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t4_seed51002,unit_commitment,51002,uc_in_distribution,train_scale,3,4,GNN图学习分支（种子3）,最优,61.13573855,69,72,0,0.027493627,0,1.3760242,1.3762129;1.3760242;1.3690887,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t4_seed51002,train_scale,GNN图学习分支（种子3）,,69,1.3760242,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,最接近0.5分支（原规则）,最优,64.33604454,129,132,0,0,0,2.4480413,2.6476855;2.4480413;2.3737963,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51003,train_scale,最接近0.5分支（原规则）,,129,2.4480413,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子1）,最优,64.33604454,63,66,0,0.026685625,0,1.4249093,1.408223;1.4617275;1.4249093,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51003,train_scale,GNN图学习分支（种子1）,,63,1.4249093,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子2）,最优,64.33604454,57,60,0,0.024108502,0,1.251222,1.2448018;1.251222;1.2649332,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51003,train_scale,GNN图学习分支（种子2）,,57,1.251222,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t3_seed51003,unit_commitment,51003,uc_in_distribution,train_scale,4,3,GNN图学习分支（种子3）,最优,64.33604454,83,86,0,0.034053996,0,1.7589523,1.7564026;1.7589523;1.7739693,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t3_seed51003,train_scale,GNN图学习分支（种子3）,,83,1.7589523,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,最接近0.5分支（原规则）,最优,136.613917,317,320,0,0,0,9.4304277,9.6724953;9.397056;9.4304277,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51004,train_scale,最接近0.5分支（原规则）,,317,9.4304277,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子1）,最优,136.613917,85,88,0,0.042974293,0,3.2133644,3.2133644;3.344699;3.0519716,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51004,train_scale,GNN图学习分支（种子1）,,85,3.2133644,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子2）,最优,136.613917,97,100,0,0.040028956,0,3.2272599,3.2356644;3.2272599;3.2170756,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51004,train_scale,GNN图学习分支（种子2）,,97,3.2272599,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t4_seed51004,unit_commitment,51004,uc_in_distribution,train_scale,4,4,GNN图学习分支（种子3）,最优,136.613917,95,98,0,0.040330504,0,3.1721698,3.2192696;3.1721698;3.1574484,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t4_seed51004,train_scale,GNN图学习分支（种子3）,,95,3.1721698,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,最接近0.5分支（原规则）,最优,84.29013157,247,250,0,0,0,7.2405611,7.2892927;7.2405611;7.1201516,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51005,train_scale,最接近0.5分支（原规则）,,247,7.2405611,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子1）,最优,84.29013157,151,154,0,0.064396873,0,4.3415535,4.3415535;4.3535467;4.3392558,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51005,train_scale,GNN图学习分支（种子1）,,151,4.3415535,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子2）,最优,84.29013157,135,138,0,0.058282458,0,4.0101879,4.0101879;4.0962361;3.9999511,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51005,train_scale,GNN图学习分支（种子2）,,135,4.0101879,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t3_seed51005,unit_commitment,51005,uc_in_distribution,train_scale,5,3,GNN图学习分支（种子3）,最优,84.29013157,151,154,0,0.063595716,0,4.3450397,4.3695243;4.3331269;4.3450397,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t3_seed51005,train_scale,GNN图学习分支（种子3）,,151,4.3450397,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,最接近0.5分支（原规则）,最优,126.5503022,515,518,0,0,0,27.918583,27.903331;27.918841;27.918583,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51006,train_scale,最接近0.5分支（原规则）,,515,27.918583,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子1）,最优,126.5503022,277,280,0,0.12461346,0,14.311089,14.16289;14.362433;14.311089,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51006,train_scale,GNN图学习分支（种子1）,,277,14.311089,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子2）,最优,126.5503022,257,260,0,0.11254216,0,12.915464,12.91498;12.918638;12.915464,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51006,train_scale,GNN图学习分支（种子2）,,257,12.915464,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t4_seed51006,unit_commitment,51006,uc_in_distribution,train_scale,5,4,GNN图学习分支（种子3）,最优,126.5503022,233,236,0,0.10170975,0,11.092877,11.098979;11.07174;11.092877,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t4_seed51006,train_scale,GNN图学习分支（种子3）,,233,11.092877,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,最接近0.5分支（原规则）,最优,77.03463014,159,162,0,0,0,5.5070343,5.5096952;5.5070343;5.4975535,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t5_seed51007,train_scale,最接近0.5分支（原规则）,,159,5.5070343,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,GNN图学习分支（种子1）,最优,77.03463014,117,120,0,0.048962292,0,4.4117391,4.4235583;4.4099652;4.4117391,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t5_seed51007,train_scale,GNN图学习分支（种子1）,,117,4.4117391,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,GNN图学习分支（种子2）,最优,77.03463014,141,144,0,0.058651707,0,4.9892484,5.0062603;4.9845541;4.9892484,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t5_seed51007,train_scale,GNN图学习分支（种子2）,,141,4.9892484,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u3_t5_seed51007,unit_commitment,51007,uc_in_distribution,train_scale,3,5,GNN图学习分支（种子3）,最优,77.03463014,115,118,0,0.048504038,0,4.453382,4.4659182;4.4529873;4.453382,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u3_t5_seed51007,train_scale,GNN图学习分支（种子3）,,115,4.453382,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,最接近0.5分支（原规则）,达到时间上限,213.589293,759,762,0,0,0,45.006802,45.006802;45.004902;45.044803,0.2225881585,达到时间上限,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51008,train_scale,最接近0.5分支（原规则）,,759,45.006802,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子1）,最优,169.2860159,601,604,0,0.28183914,0,34.762366,34.556278;34.762366;36.656204,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51008,train_scale,GNN图学习分支（种子1）,,601,34.762366,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子2）,最优,169.2860159,677,680,0,0.30244629,0,37.775144,37.775144;36.757029;37.97906,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51008,train_scale,GNN图学习分支（种子2）,,677,37.775144,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u4_t5_seed51008,unit_commitment,51008,uc_in_distribution,train_scale,4,5,GNN图学习分支（种子3）,最优,169.2860159,763,766,0,0.33979882,0,43.014221,43.014221;42.764246;43.35906,0,,SciPy-HiGHS,uc_in_distribution_unit_commitment_u4_t5_seed51008,train_scale,GNN图学习分支（种子3）,,763,43.014221,3,预热1次＋正式3次中位数
uc_in_distribution_unit_commitment_u5_t5_seed51009,unit_commitment,51009,uc_in_distribution,train_scale,5,5,最接近0.5分支（原规则）,达到时间上限,206.1516513,374,377,0,0,0,45.046466,45.046466,0.2142835043,达到时间上限,SciPy-HiGHS,uc_in_distribution_unit_commitment_u5_t5_seed51009,train_scale,最接近0.5分支（原规则）,,374,45.046466,1,单次稳定性补跑
