case,family,seed,version,node_lp,branching_method,status,objective,bb_nodes,formal_lp_solved,inference_time_sec,total_runtime_sec,time_repeats_sec,relative_gap,limit_type,lp_backend
budget_nx2_ny5_s277,branch_sensitive_cover,277,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,18.2608,23,26,0,0.42114692,0.42536529;0.42114692;0.42039308,0,,自制active-set
budget_nx2_ny5_s277,branch_sensitive_cover,277,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,18.2608,23,26,0.005221749,0.40085771,0.4029605;0.40085771;0.39930083,0,,自制active-set
budget_nx2_ny5_s277,branch_sensitive_cover,277,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,18.2608,23,26,0,0.023238584,0.033575667;0.023238584;0.018948542,0,,SciPy-HiGHS
budget_nx2_ny5_s277,branch_sensitive_cover,277,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,18.2608,23,26,0.004820372,0.019712208,0.019703625;0.019712208;0.019846625,0,,SciPy-HiGHS
budget_nx2_ny6_s25,branch_sensitive_cover,25,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,13.223,29,32,0,1.5823105,1.5932194;1.5823105;1.5787401,0,,自制active-set
budget_nx2_ny6_s25,branch_sensitive_cover,25,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,13.223,27,30,0.006740957,1.6400317,1.6400317;1.6366031;1.6575519,0,,自制active-set
budget_nx2_ny6_s25,branch_sensitive_cover,25,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,13.223,29,32,0,0.025269209,0.025269209;0.025035834;0.025317125,0,,SciPy-HiGHS
budget_nx2_ny6_s25,branch_sensitive_cover,25,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,13.223,27,30,0.00614779,0.030736708,0.030736708;0.033039541;0.030398333,0,,SciPy-HiGHS
budget_nx2_ny6_s32,branch_sensitive_cover,32,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,19.98,23,26,0,1.6216873,1.6216873;1.6176668;1.6231104,0,,自制active-set
budget_nx2_ny6_s32,branch_sensitive_cover,32,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,19.98,27,30,0.00716775,1.6707538,1.7354033;1.6465929;1.6707538,0,,自制active-set
budget_nx2_ny6_s32,branch_sensitive_cover,32,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,19.98,23,26,0,0.021198083,0.021345375;0.021108042;0.021198083,0,,SciPy-HiGHS
budget_nx2_ny6_s32,branch_sensitive_cover,32,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,19.98,27,30,0.005755373,0.027699,0.027219916;0.027741;0.027699,0,,SciPy-HiGHS
budget_nx2_ny6_s74,branch_sensitive_cover,74,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,14.97,31,34,0,1.5961754,1.5941569;1.5961754;1.6003225,0,,自制active-set
budget_nx2_ny6_s74,branch_sensitive_cover,74,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,14.97,29,32,0.007104625,1.5924282,1.5924282;1.5889019;1.612272,0,,自制active-set
budget_nx2_ny6_s74,branch_sensitive_cover,74,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,14.97,31,34,0,0.027290375,0.027390791;0.027086541;0.027290375,0,,SciPy-HiGHS
budget_nx2_ny6_s74,branch_sensitive_cover,74,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,14.97,29,32,0.006531752,0.032363833,0.032109042;0.032363833;0.032688584,0,,SciPy-HiGHS
budget_nx2_ny6_s242,branch_sensitive_cover,242,自制求解器基础版,自制active-set,最接近0.5分支（原规则）,最优,43.1088,21,24,0,1.6033818,1.5994143;1.6037731;1.6033818,0,,自制active-set
budget_nx2_ny6_s242,branch_sensitive_cover,242,自制求解器GNN增强版,自制active-set,GNN图学习分支,最优,43.1088,19,22,0.004899708,1.568944,1.568944;1.5666413;1.5865257,0,,自制active-set
budget_nx2_ny6_s242,branch_sensitive_cover,242,开源LP增强版,SciPy-HiGHS,最接近0.5分支（原规则）,最优,43.1088,21,24,0,0.015827875,0.01584;0.015806375;0.015827875,0,,SciPy-HiGHS
budget_nx2_ny6_s242,branch_sensitive_cover,242,开源LP＋GNN完整版,SciPy-HiGHS,GNN图学习分支,最优,43.1088,19,22,0.004573664,0.022096583,0.021350625;0.02257825;0.022096583,0,,SciPy-HiGHS
